,Plot_Specification,Construction Status,Total Area,Price per Sq ft,Location,city,Builder,BHK,price(in_lakhs)
531,Apartment,Under Construction,596 ,"5,200 / sq ft",Anekal City,Bangalore,Bavisha Homes Private Limited,1,30.99
532,Apartment,Under Construction,596 ,"5,200 / sq ft",Anekal City,Bangalore,Bavisha Homes Private Limited,1,30.99
533,Apartment,Under Construction,595 ,"5,200 / sq ft",Anekal City,Bangalore,Bavisha Homes Private Limited,1,30.94
534,Apartment,Under Construction,595 ,"5,200 / sq ft",Anekal City,Bangalore,Bavisha Homes Private Limited,1,30.94
535,Apartment,Under Construction,1301 ,"5,200 / sq ft",Anekal City,Bangalore,Bavisha Homes Private Limited,3,67.65
536,Apartment,Under Construction,1301 ,"5,200 / sq ft",Anekal City,Bangalore,Bavisha Homes Private Limited,3,67.65
537,Apartment,Under Construction,1045 ,"4,738 / sq ft",Gunjur,Bangalore,Abhi Infra,2,49.52
538,Apartment,Under Construction,1405 ,"4,638 / sq ft",Gunjur,Bangalore,Abhi Infra,2,65.16
539,Apartment,Under Construction,1405 ,"4,638 / sq ft",Gunjur,Bangalore,Abhi Infra,2,65.16
540,Apartment,Under Construction,1175 ,"4,695 / sq ft",Gunjur,Bangalore,Abhi Infra,2,55.17
541,Apartment,Under Construction,1175 ,"4,695 / sq ft",Gunjur,Bangalore,Abhi Infra,2,55.17
542,Apartment,Under Construction,1000 ,"4,756 / sq ft",Gunjur,Bangalore,Abhi Infra,2,47.56
543,Apartment,Under Construction,1000 ,"4,756 / sq ft",Gunjur,Bangalore,Abhi Infra,2,47.56
544,Apartment,Under Construction,1650 ,"4,594 / sq ft",Gunjur,Bangalore,Abhi Infra,3,75.81
545,Apartment,Under Construction,1650 ,"4,594 / sq ft",Gunjur,Bangalore,Abhi Infra,3,75.81
546,Apartment,Under Construction,1150 ,"4,702 / sq ft",Gunjur,Bangalore,Abhi Infra,2,54.08
547,Apartment,Under Construction,1150 ,"4,702 / sq ft",Gunjur,Bangalore,Abhi Infra,2,54.08
548,Apartment,Under Construction,1195 ,"4,689 / sq ft",Gunjur,Bangalore,Abhi Infra,2,56.04
549,Apartment,Under Construction,1195 ,"4,689 / sq ft",Gunjur,Bangalore,Abhi Infra,2,56.04
550,Apartment,Under Construction,1225 ,"4,681 / sq ft",Gunjur,Bangalore,Abhi Infra,2,57.34
551,Apartment,Under Construction,1225 ,"4,681 / sq ft",Gunjur,Bangalore,Abhi Infra,2,57.34
552,Apartment,Under Construction,1435 ,"4,632 / sq ft",Gunjur,Bangalore,Abhi Infra,3,66.47
553,Apartment,Under Construction,1435 ,"4,632 / sq ft",Gunjur,Bangalore,Abhi Infra,3,66.47
554,Apartment,Under Construction,995 ,"4,758 / sq ft",Gunjur,Bangalore,Abhi Infra,2,47.34
555,Apartment,Under Construction,995 ,"4,758 / sq ft",Gunjur,Bangalore,Abhi Infra,2,47.34
